,Player_Name,Country,Rookie_year,Retirement_year,Matches,Inns,Not_outs,Total_Runs_in_Career,Highest_Score,Average_Score,Balls_Faced,Strike_Rate,100,50,0,4s,6s,Highest_Score_Not_out,Retired_or_not
22,AB de Villiers ,SA,2004,2018,114,191,18,8765,278,50.66,16077,54.51,22,46,8,1024,64,1,0
23,DA Warner ,AUS,2011,2024,112,204,9,8701,335,44.62,12380,70.28,26,36,13,1026,69,1,1
24,MJ Clarke ,AUS,2004,2015,115,198,22,8643,329,49.1,15456,55.92,28,27,9,978,39,1,0
25,ML Hayden ,AUS,1994,2009,103,184,14,8625,380,50.73,14349,60.1,30,29,14,1049,82,0,0
26,V Sehwag ,ICC/IND,2001,2013,104,180,6,8586,319,49.34,10441,82.23,23,32,16,1233,91,0,0
27,IVA Richards ,WI,1974,1991,121,182,12,8540,291,50.23,9613,69.77,24,45,10,952,84,0,0
28,AJ Stewart ,ENG,1990,2003,133,235,21,8463,190,39.54,17389,48.66,15,45,14,1121,10,0,0
29,KS Williamson ,NZ,2010,2023,96,168,16,8263,251,54.36,16052,51.47,29,33,10,914,21,0,0
30,DI Gower ,ENG,1978,1992,117,204,18,8231,215,44.25,16268,50.59,18,39,7,979,10,0,0
31,KP Pietersen ,ENG,2005,2014,104,181,8,8181,227,47.28,13255,61.72,23,35,10,985,81,0,0
32,G Boycott ,ENG,1964,1982,108,193,23,8114,246,47.72,20528,35.69,22,42,10,765,8,1,0
33,GS Sobers ,WI,1954,1974,93,160,21,8032,365,57.78,4063,53.58,26,30,12,593,32,1,0
34,ME Waugh ,AUS,1991,2002,128,209,17,8029,153,41.81,15360,52.27,20,47,19,844,41,1,0
35,MA Atherton ,ENG,1989,2001,115,212,7,7728,185,37.69,20609,37.49,16,46,20,904,4,1,0
